Código de Barras;Artículo
8040;8040 Servilletas de Mesa 50 Paq, x 40u c/u
8100;8100 Servilletas de Mesa 20 Paq, x 100u c/u
6111A3;6111A3 Toalla Ecologica Doble Hoja Ancho 25cm Buje de 7,6cm
7311AA;7311AA Jumbo Blanco x 300m x 8u
50004;50004 Film Termocontraible Lamina 45/70 µm
50006;50006 Film Termocontraible Lamina 70/70 µm
60000;60000 Polietileno 70/50 µm
60001;60001 Polietileno 80/50 µm
60002;60002 Polietileno 10cm,
40015;40015 Film Stretch Cortes C/Recuperado 38/10cm,
40005;40005 Film Stretch Cortes Virgen 38/10cm,
50001;50001 Film Termocontraible Lamina 30/50 µm
50003;50003 Film Termocontraible Lamina 37/70 µm
50005;50005 Film Termocontraible Lamina 47/70 µm
40016;40016 Film Stretch Cortes C/Recuperado 7 1/2 c/ Manguito
6110A4;6110A4 Toalla Beige Doble Hoja Ancho 25cm Buje de 7,6cm
50007;50007 Film Termocontraible Lamina 64/50 µm x 1,20m
10030;10030 Secamanos de Acero Inoxidable por Aproximacion
7941;7941 Higienico Blanco 30u x 40 Mts
6011A5;6011A5 Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm
6010A5;6010A5 Rollo Blanco Doble Hoja Ancho 25cm Buje de 7,6cm
7310A3;7310A3 Jumbo Blanco x 300m x 8u
4111AA;4111AA Toalla Blanca Ancho 20cm Buje de 4,6cm	x 6u
7311A3;7311A3 Jumbo Blanco x 300m x 8u
1001; 1001 Toalla Blanca Ancho 20cm Largo 24cm en Caja de 2500u 
40017;40017 Film Stretch Cortes Virgen 38/25cm,
40018;40018 Film Stretch Cortes C/Recuperado 38/25cm,
7900A1;7900A1 Higienico Blanco 30u x 100m
6011A6;6011A6 Rollo Blanco Doble Hoja Ancho 20cm Buje de 7,6cm
6010A6;6010A6 Rollo Blanco Doble Hoja Ancho 25cm Buje de 7,6cm
50008;50008 Termocontraible lamina 50/50 µm
8505;8505 Servilleta Blanca Vigen  33cm x 32cm en Caja de 500u
60003;60003 Polietileno 12/50 µm
7310A1;7310A1 Jumbo Blanco x 300m x 8u
4170;4170 Toalla Blanca Ancho 25cm Buje de 4,6cm
4170A;4170A Toalla Blanca Ancho 25cm Buje de 4,6cm
8060;8060 Eco Rollo de Cocina x 60 Hojas
50009;50009 Film Termocontraible Lamina 30/70 µm
7400;7400 Bobina Jumbo Blanco
1111;1111 Toalla Natural Ancho 20cm Largo 24cm en Caja de 2500u,
1111A;1111A Toalla Natural Ancho 20cm Largo 24cm en Caja de 2250u
1111AA;1111AA Toalla Natural Ancho 20cm Largo 24cm en Caja de 1900u
1111A3;1111A3 Toalla Natural Ancho 20cm Largo 24cm en Caja de 1620u
1111A4;1111A4 Toalla Natural Ancho 20cm Largo 24cm en Caja de 1260u
8505;8505 ECO Servilleta Blanca ECO 33cm x 32cm en Caja de 500u
8506;8506 ECO Servilleta Blanca ECO 33cm x 32cm en Caja de 600u
